OBJECTID,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEOID_Data,B00001e1,Total_Poverty_Status,Poverty_Under_5,Poverty_5to99,Poverty_1to124,Poverty_125to149,Poverty_150to184,Poverty_185to199,Poverty_over2,POV_UNDER_1,Means_Transport,Transport_Car_Total,Transport_Car_Drove_Alone,Transport_Carpooled,Transport_Carpooled_2p,Transport_Carpooled_3p,Transport_Carpooled_4p,Transport_Carpooled_5to6p,Transport_Carpooled_7p,Transport_Public_Trans_Total,Transport_PT_Bus,Transport_PT_Trolley,Transport_PT_Subway,Transport_PT_Railroad,Transport_PT_Ferry,Transport_Taxi,Transport_Motorcycle,Transport_Bicycle,Transport_Walked,Transport_Other,Transport_Worked_at_Home,Employment_Status_Total,Emp_Labor_Force_Total,Emp_Civilian_Labor_Force_Total,Emp_Civilian_Labor_Force_EMPLO,Emp_Civilian_Labor_Force_UNEMP,Emp_Labor_Force_Armed_Forces,Emp_Status_Force_Not_in_Labor_,Median_Household_Income,Race_Total,Race_White,Race_Black,Race_American_Indian_Alaskan,Race_Asian,Race_Native_Hawaiian_Pacific,Race_Other,Race_2_or_more,Race_2_or_more_inc_other,Race_2_or_more_ex_other,Vacant_Housing_Units,Shape__Area,Shape__Length
1,29,99,701300,3,2.90997E+11,Block Group 3,G5030,S,12444958,0,38.1089484,-90.5179031,15000US290997013003,74,527,21,2,43,2,61,0,398,23,231,231,191,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,240,240,231,9,0,191,52500,529,519,10,0,0,0,0,0,0,0,8,0.001278395,0.212473162
2,29,99,700302,1,2.90997E+11,Block Group 1,G5030,S,7863848,169289,38.4482181,-90.562304,15000US290997003021,349,2475,117,161,37,26,174,79,1881,278,1342,1320,1153,167,148,0,19,0,0,0,0,0,0,0,0,0,0,0,13,0,9,2032,1447,1447,1346,101,0,585,63194,2496,2462,0,5,6,0,0,23,0,23,84,0.000828993,0.128991133
3,29,99,700802,1,2.90997E+11,Block Group 1,G5030,S,9622916,0,38.2499228,-90.4161419,15000US290997008021,269,2844,396,101,100,77,62,54,2054,497,1241,1163,1124,39,39,0,0,0,0,0,0,0,0,0,0,6,7,0,21,0,44,1882,1323,1314,1255,59,9,559,65573,2844,2498,133,0,32,0,0,181,0,181,36,0.000990387,0.197605193
4,29,99,700504,2,2.90997E+11,Block Group 2,G5030,S,3852358,0,38.357707,-90.6341032,15000US290997005042,117,1245,17,96,20,42,47,0,1023,113,560,560,517,43,18,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1003,634,634,579,55,0,369,68603,1245,1235,0,0,10,0,0,0,0,0,59,0.000397063,0.101180263
5,29,99,701200,2,2.90997E+11,Block Group 2,G5030,S,1581170,0,38.1475271,-90.565418,15000US290997012002,47,794,151,0,97,0,90,0,456,151,296,286,205,81,81,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,643,347,347,296,51,0,296,38527,794,705,32,0,0,0,0,57,0,57,88,0.000162508,0.080202717
6,29,99,700604,3,2.90997E+11,Block Group 3,G5030,S,12078673,36147,38.2682316,-90.5399521,15000US290997006043,62,1138,154,0,0,66,102,0,816,154,676,649,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,990,708,708,676,32,0,282,49432,1138,1138,0,0,0,0,0,0,0,0,48,0.001247144,0.162396385
7,29,99,701101,2,2.90997E+11,Block Group 2,G5030,S,52094521,26519,38.1881717,-90.6259761,15000US290997011012,165,1562,29,14,148,45,173,18,1135,43,665,610,599,11,0,11,0,0,0,0,0,0,0,0,0,0,10,0,0,2,43,1177,723,723,685,38,0,454,64306,1568,1509,46,0,0,0,0,13,0,13,35,0.005359486,0.445748732
8,29,99,700601,2,2.90997E+11,Block Group 2,G5030,S,13652669,1650189,38.3130418,-90.3910176,15000US290997006012,119,2403,2,234,61,129,17,79,1881,236,1142,1142,1123,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1711,1216,1216,1142,74,0,495,57976,2403,2361,0,0,0,0,9,33,0,33,0,0.001576349,0.195755957
9,29,99,700605,3,2.90997E+11,Block Group 3,G5030,S,8416355,52063,38.2660499,-90.4303197,15000US290997006053,126,2215,115,113,75,375,37,17,1483,228,1128,1095,985,110,83,12,0,0,15,0,0,0,0,0,0,0,0,0,0,20,13,1818,1286,1286,1128,158,0,532,63382,2215,2018,122,14,0,0,0,61,50,11,47,0.00087161,0.228377874
10,29,99,700402,1,2.90997E+11,Block Group 1,G5030,S,62141427,1048951,38.4252618,-90.6963262,15000US290997004021,292,3007,14,9,2,257,30,137,2558,23,1723,1635,1518,117,94,23,0,0,0,0,0,0,0,0,0,0,31,0,2,0,55,2377,1851,1851,1803,48,0,526,91667,3008,2909,19,0,10,0,0,70,40,30,62,0.006518948,0.439362896
11,29,99,700113,1,2.90997E+11,Block Group 1,G5030,S,6595587,7802,38.4317954,-90.4355492,15000US290997001131,129,1239,0,132,41,9,143,19,895,132,549,543,530,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1107,633,633,560,73,0,474,60327,1247,1236,0,0,11,0,0,0,0,0,86,0.000681334,0.119406603
