FID,ObjectID,NAME,FCC,FEATTYPE,MNFC,LOC_ID,USE_,OWNERNAME,ELEVATION,CONGES_LEV,SERV_LEV,LRGCERTENP,COMM_ENP,AIRTAXIENP,FOREIGNENP,INTRANENP,HUB_SIZE,TOWER_TYPE,Shape__Area,Shape__Length
1,1030,St Louis Downtown Airport,D58,Airport ground,9732,CPS,PU, ,413,U,RL,0,0,50,0,0,G,5,0.000250832,0.080764353
2,1031,Midamerica St Louis Airport,D58,Airport ground,9732,BLV,PR,Usaf,453,U,GA,406,0,0,0,0,G,6,0.000370825,0.095107045
3,1032,St Louis Regional Airport,D58,Airport ground,9732,ALN,PU,St Louis Regional,544,U,RL,0,0,3,0,0,G,5,0.00056179,0.13415075
4,1033,St Louis Metro-East Airport,D58,Airport ground,9732,3K6,PU, ,477,U,RL,0,0,0,0,0, ,0,6.95E-05,0.033647091
5,1034,Greenville Airport,D58,Airport ground,9732,GRE,PU, ,541,U,GA,0,0,0,0,0, ,6,0.000275007,0.066954227
6,1035,Litchfield Municipal Airport,D58,Airport ground,9732,3LF,PU,Litchfield Apt Auth,690,U,GA,0,0,0,0,0, ,6,4.62E-05,0.045099633
7,1041,Sparta Community Airport,D58,Airport ground,9732,SAR,PU, ,538,U,GA,0,0,2,0,0,G,6,5.78E-05,0.047684828
8,1650,Hermann Municipal Airport,D58,Airport ground,9732,63M, , ,-999, , ,0,0,0,0,0, , ,1.60E-05,0.027672054
9,1651,Greensfield Airport,D58,Airport ground,9732,M71, , ,-999, , ,0,0,0,0,0, , ,1.78E-05,0.03236874
10,1652,Washington Regional Airport,D58,Airport ground,9732,MO6,PU, ,487, , ,0,0,0,0,0, , ,3.23E-05,0.027955749
11,1653,Sullivan Regional Airport,D58,Airport ground,9732,UUV,PU,City Of Sullivan,933,U,GA,0,0,0,0,0, , ,0.000131796,0.06713378
12,1654,St Clair Regional Airport,D58,Airport ground,9732,K39,PU,City Of St Clair,654,U,GA,0,0,0,0,0, ,0,3.71E-05,0.028852145
13,1655,Cuba Municipal Airport,D58,Airport ground,9732,UBX,PU,City Of Cuba,1022,U,GA,0,0,0,0,0, ,0,3.71E-05,0.028818732
