FID,OBJECTID,Name,STATION,EXISTING,CONNECTION,UPDATED,LAYER,SOURCE,COMMENT,Municipali,State
1,1,Stratford,Stratford,N, ,-2.20916E+12, , , ,City St. Louis,MO
2,2,Goodfellow,Goodfellow,N, ,-2.20916E+12, , , ,City St. Louis,MO
3,3,Union,Union,N, ,-2.20916E+12, , , ,City St. Louis,MO
4,4,Kingshighway,Kingshighway,N, ,-2.20916E+12, , , ,City St. Louis,MO
5,5,Newstead,Newstead,N, ,-2.20916E+12, , , ,City St. Louis,MO
6,6,Fair,Fair,N, ,-2.20916E+12, , , ,City St. Louis,MO
7,7,Grand,Grand,N, ,-2.20916E+12, , , ,City St. Louis,MO
8,8,Parnell,Parnell,N, ,-2.20916E+12, , , ,City St. Louis,MO
9,9,St. Louis,St. Louis,N, ,-2.20916E+12, , , ,City St. Louis,MO
10,10,Delmar,Delmar,N, ,-2.20916E+12, , , ,City St. Louis,MO
11,11,Biddle,Biddle,N, ,-2.20916E+12, , , ,City St. Louis,MO
12,12,Washington-East,Washington-East,N, ,-2.20916E+12, , , ,City St. Louis,MO
13,13,Washington-West,Washington-West,N, ,-2.20916E+12, , , ,City St. Louis,MO
14,14,Olive-East,Olive-East,N, ,-2.20916E+12, , , ,City St. Louis,MO
15,15,Olive-West,Olive-West,N, ,-2.20916E+12, , , ,City St. Louis,MO
16,16,Clark-East,Clark-East,N, ,-2.20916E+12, , , ,City St. Louis,MO
17,17,Clark-West,Clark-West,N, ,-2.20916E+12, , , ,City St. Louis,MO
18,18,MMTZ,MMTZ,N, ,-2.20916E+12, , , ,City St. Louis,MO
19,19,Truman,Truman,N, ,-2.20916E+12, , , ,City St. Louis,MO
20,20,Park,Park,N, ,-2.20916E+12, , , ,City St. Louis,MO
21,21,Russell,Russell,N, ,-2.20916E+12, , , ,City St. Louis,MO
22,22,Gravois,Gravois,N, ,-2.20916E+12, , , ,City St. Louis,MO
23,23,Arsenal,Arsenal,N, ,-2.20916E+12, , , ,City St. Louis,MO
24,24,Cherokee,Cherokee,N, ,-2.20916E+12, , , ,City St. Louis,MO
25,25,Keokuk,Keokuk,N, ,-2.20916E+12, , , ,City St. Louis,MO
26,26,Broadway,Broadway,N, ,-2.20916E+12, , , ,City St. Louis,MO
27,27,Bates,Bates,N, ,-2.20916E+12, , , ,City St. Louis,MO
28,28,Loughborough,Loughborough,N, ,-2.20916E+12, , , ,City St. Louis,MO
29,29,Bayless,Bayless,N, ,-2.20916E+12, , , ,St. Louis County,MO
