FID,NAME,ACREAGE,SOURCE,NOTES,OWNER,USER_,Shape__Area,Shape__Length
1,TORCH CLUB CLUBGROUNDS,169.1,EWGCC,DOQ/PBed,Private,Private,7.11E-05,0.040758336
2,THE WOODLANDS GC,145.61,EWGCC,DOQ/PBed,Private,Private,6.12E-05,0.036224027
3,CLOVERLEAF GC,104.76,EWGCC,DOQed-ok,Private,Public,4.40E-05,0.030355273
4,WADLOW MUNICIPAL GC,57.5,EWGCC, ,City,Public,2.42E-05,0.020305132
5,GORDON MOORE COMMUNITY PARK,188.91,EWGCC,DOQed,City,Public,7.93E-05,0.040697801
6,ROCK SPRING PARK/GC,142.64,EWGCC,DOQedMINUS,City,Public,5.99E-05,0.04023538
7,GORDON MOORE COMMUNITY PARK/OLIN GC,469.26,EWGCC,DOQedMINUS,City,Public,0.000197058,0.059096534
8,KUTTER PARK,21.37,EWGCC, ,City(Twp),Public,8.97E-06,0.01312213
9,HASKELL PARK,7.07,EWGCC,DOQed,City,Public,2.97E-06,0.007181362
10,RIVERFRONT PARK,25.96,EWGCC,DOQedPLUS,City,Public,1.09E-05,0.01776485
11,RUSSELL COMMONS PARK,17.57,EWGCC,DOQedPLUS,City,Public,7.38E-06,0.014113205
12,VAN PRETER PARK,16.66,EWGCC, ,City,Public,6.99E-06,0.013507453
13,BELK PARK/BELK PARK GC,248.86,EWGCC,PLUS,City,Public,0.000104451,0.050780458
14,EAST END PARK,10.53,EWGCC,DOQed-FCshape,City,Public,4.42E-06,0.009466996
15,BENBOW FIELD,5.46,EWGCC,former soccer fields,City,Public,2.29E-06,0.006061205
16,ROXANA COMMUNITY PARK,37.55,EWGCC,DOQed,City,Public,1.58E-05,0.018559991
17,SOUTH ROXANA DAD'S CLUB  PARK,9.23,EWGCC,DOQed,City,Public,3.87E-06,0.008327466
18,HARTFORD PARK,16.38,EWGCC, ,City,Public,6.87E-06,0.012034455
19,MITCHELL A.C. ATHLETIC PARK,18.72,EWGCC,DOQed-ok,City,Public,7.84E-06,0.014599758
20,THE LEGACY GC,204.21,EWGCC,added-DOQed-RESincl,Private,Public,8.55E-05,0.04553421
21,HICKEY PARK,13.8,EWGCC,DOQed,City,Public,5.78E-06,0.0097042
22,WILSON PARK,69.15,EWGCC,DOQed-ok,City,Public,2.90E-05,0.023038772
23,ARLINGTON GC,192.54,EWGCC,DOQ/PBedApprx,City,Public,8.06E-05,0.037263159
24,PENROSE PARK,47.76,EWGCC,DOQed-guesstimate,City,Public,2.00E-05,0.021902687
25,O'FALLON PARK,175.63,EWGCC,DOQed-split?,City,Public,7.35E-05,0.038347338
26,BARRETT BROTHERS PARK,14.37,EWGCC,DOQed-ok,City,Public,6.02E-06,0.009930706
27,LEE PARK,36.64,EWGCC,DOQed-ok,City,Public,1.53E-05,0.018055078
28,SHERMAN PARK,27.13,EWGCC,DOQed-ok,City,Public,1.14E-05,0.014007796
29,HYDE PARK,12.5,EWGCC,DOQed-ok,City,Public,5.23E-06,0.009223424
30,TANDY PARK,5.55,EWGCC,DOQed-ok,City,Public,2.32E-06,0.007339296
31,COLLINSVILLE JAYCEE SPORTS COMPLEX,32.64,EWGCC,DOQedPLUSfcedOK,City,Public,1.37E-05,0.019059093
32,IVORY PERRY PARK,11.56,EWGCC,akaVisitation?DOQed,City,Public,4.84E-06,0.010076778
33,ST. LOUIS PLACE PARK,13.64,EWGCC,DOQed-ok,City,Public,5.71E-06,0.016228426
34,"J. B. ""JET"" BANKS PARK",5.83,EWGCC,DOQed-ok,City,Public,2.44E-06,0.006712377
35,CHAMBERS PARK,6.21,EWGCC,DOQed-ok,City,Public,2.60E-06,0.007385768
36,SLU ATHLETIC FIELDS,9.89,EWGCC,DOQed-ok,Private,Public,4.14E-06,0.009001616
37,ALOE PLAZA,2.31,EWGCC,DOQed-ok,City,Public,9.66E-07,0.005839896
38,KIENER PLAZA,1.77,EWGCC,DOQed,City,Public,7.41E-07,0.003560681
39,FRANZ PARK,8.64,EWGCC,RM,City,Public,3.61E-06,0.007921858
40,BERRA PARK,5.1,EWGCC,DOQed,City,Public,2.13E-06,0.006244618
41,TOWER GROVE PARK,277.07,EWGCC,DOQed,City,Public,0.000115891,0.062345533
42,PLEASANT RIDGE PARK,91.1,EWGCC,DOQed-Apprx,City,Public,3.81E-05,0.028718616
43,LEISURE PARK,7.21,EWGCC,DOQed,City,Public,3.02E-06,0.007240577
44,CLIFTON HEIGHTS PARK,7.05,EWGCC,DOQed-FCshape?,City,Public,2.95E-06,0.009622706
45,MISSOURI BOTANICAL GARDEN,79.69,EWGCC,DOQed,Private,Public,3.33E-05,0.024141384
