FID,OBJECTID,osm_id,code,fclass,name,Shape_Leng,AREA,Shape__Area,Shape__Length
1,1,28489677,8200,water, ,11255.63181,11255.63181,1.99E-05,0.037437205
2,2,28489680,8200,water, ,7917.742257,7917.742257,2.19E-05,0.025760431
3,6,29021036,8200,water, ,29687.09856,29687.09856,0.000127993,0.090712135
4,8,3563999,8200,water, ,156139.4577,156139.4577,0.000944739,0.493249411
5,9,29227419,8202,river, ,104502.5303,104502.5303,0.000731058,0.336256385
6,10,29227928,8200,water, ,6712.541531,6712.541531,5.88E-06,0.020116022
7,11,29228007,8200,water, ,14096.33795,14096.33795,1.16E-05,0.042732778
8,13,29228037,8200,water, ,6671.417568,6671.417568,4.40E-06,0.019913102
9,16,29228198,8200,water, ,6421.590475,6421.590475,5.09E-06,0.019457202
10,17,133894,8202,river, ,100329.7099,100329.7099,0.000708727,0.314339919
11,27,275741,8200,water, ,9884.209812,9884.209812,5.92E-06,0.031181643
12,36,40836243,8200,water, ,3730.623445,3730.623445,2.12E-06,0.011307874
13,38,40875748,8200,water,Simpson Park Lake,11345.62051,11345.62051,3.06E-05,0.034911772
14,42,275742,8200,water,River Des Peres,33244.33282,33244.33282,9.78E-06,0.107123894
15,47,41081321,8200,water, ,4454.09947,4454.09947,2.93E-06,0.014157847
16,58,41082617,8200,water, ,4559.52671,4559.52671,3.57E-06,0.014226654
17,65,41523164,8200,water, ,6054.91039,6054.91039,1.12E-05,0.018971401
18,74,42744934,8200,water, ,4952.026561,4952.026561,4.50E-06,0.015919016
19,80,301713,8200,water,Unger County Park Lake,5686.114436,5686.114436,1.02E-05,0.017496519
20,86,45535953,8200,water, ,6628.85735,6628.85735,2.34E-06,0.021034635
21,92,47623960,8200,water, ,7338.423685,7338.423685,1.01E-05,0.022913802
22,93,47634541,8200,water, ,6102.019379,6102.019379,8.96E-06,0.017971698
23,157,407376,8202,river,Gasconade River,1406667.405,1406667.405,0.001462887,4.381826188
24,199,52709265,8200,water,Lake Chesterfield,5484.101208,5484.101208,6.05E-06,0.016785422
25,233,57040795,8200,water, ,3757.215781,3757.215781,3.13E-06,0.01186801
26,248,59019398,8200,water, ,4389.906895,4389.906895,5.42E-06,0.013491841
27,249,59019592,8200,water, ,4172.202553,4172.202553,5.78E-06,0.013234319
28,261,60779243,8200,water, ,3716.862071,3716.862071,7.55E-06,0.011502436
29,262,60779322,8200,water, ,4001.258399,4001.258399,8.30E-06,0.012736596
30,266,60780462,8200,water, ,6835.538574,6835.538574,1.75E-05,0.022852071
31,269,60780504,8200,water, ,3987.565799,3987.565799,8.62E-06,0.011893033
32,283,65237255,8200,water, ,4677.478962,4677.478962,5.26E-06,0.014020657
33,320,78057492,8200,water,LakeView Lake,5704.511738,5704.511738,1.04E-05,0.018779354
34,321,78237295,8200,water,Teal Lake,11842.4938,11842.4938,3.33E-05,0.037267068
35,327,92944673,8200,water,Vanloo Lake,3826.231078,3826.231078,4.58E-06,0.011313081
36,343,109313672,8200,water, ,5369.320384,5369.320384,8.07E-06,0.016991138
37,344,110785978,8200,water,Bennitt Lake,18295.04792,18295.04792,1.86E-05,0.057110879
38,351,113880334,8221,wetland, ,10040.78719,10040.78719,1.66E-05,0.03161264
39,376,113880407,8200,water,Busch Wildlife Area Number 600 Lake,5647.912542,5647.912542,1.25E-05,0.016853082
40,394,113880444,8200,water, ,4132.282574,4132.282574,1.58E-06,0.012296506
41,395,113880448,8200,water, ,3850.913326,3850.913326,4.76E-06,0.011249383
42,445,113880587,8200,water, ,4418.300544,4418.300544,1.74E-06,0.01442367
43,456,113880606,8200,water, ,4805.798117,4805.798117,4.86E-06,0.014933502
44,461,113880676,8221,wetland, ,4527.967003,4527.967003,3.36E-06,0.013869523
