"Element","R^2","P-value"
"Copper (Cu) 324.752","0.140138","0.071512"
"Selenium (Se) 196.026","0.215850","0.052076"
"Silver (Ag) 243.778","0.001397","0.903508"
"Zinc (Zn) 213.857","0.119737","0.097656"
"Lithium (Li) 670.784","0.008030","0.677116"
"Sodium (Na) 589.592","0.024996","0.623599"
"Potassium (K) 766.490","0.267017","0.009726"
"Magnesium (Mg) 285.213","0.323895","0.003703"
"Calcium (Ca) 317.933","0.308613","0.004829"
"Strontium (Sr) 421.552","0.540975","0.000042"
"Ceseium (Cs) 455.531","0.195617","0.030457"
"Barium (Ba) 233.527","0.278402","0.008054"
"Iron (Fe) 238.204","0.027425","0.485327"
"Manganese (Mn) 259.372","0.058316","0.255617"
"Manganese (Mn) 257.610","0.059213","0.251881"
"Thallium (Tl) 190.801","0.165328","0.075224"
"Vandium (V) 290.880","0.159007","0.053589"
"Uranium (U) 385.958","0.126970","0.095139"
"Selenium (Se) 196.026","0.215850","0.052076"
