Sample Sequence ,Name,Cordinate (lat/lon),Time,Weather,Site Description,Water Depth (cm),Sample ID,Sample Count,Replicate Site?,Day ,Arsenic (As) 193.696,Cadmium (Cd) 214.440,Chromium (Cr) 267.716,Copper (Cu) 324.752,Lead (Pb) 220.353,Nickel (Ni) 231.604,Selenium (Se) 196.026,Silver (Ag) 243.778,Zinc (Zn) 213.857,Lithium (Li) 670.784,Sodium (Na) 589.592,Potassium (K) 766.490,Magnesium (Mg) 285.213,Calcium (Ca) 317.933,Strontium (Sr) 421.552,Beryllium (Be) 313.107,Ceseium (Cs) 455.531,Aluminum (Al) 396.153,Barium (Ba) 233.527,Cobalt (Co) 228.616,Iron (Fe) 238.204,Manganese (Mn) 259.372,Manganese (Mn) 257.610,Silver (Ag) 243.778,Gallium (Ga) 417.206,Thallium (Tl) 190.801,Vandium (V) 290.880,Indium (In) 230.606,Uranium (U) 385.958,Uranium (U) 367.007,Uranium (U) 409.014,Uranium (U) 424.167,Selenium (Se) 196.026
1,August Busch Lake #30,"38.708892, -90.722567",20:01,"47, Night, cloudy","Quaint, still, no wildlife",50,A30,3,No,"Friday, Nov. 15th",ND,ND,ND,1.235,ND,ND,3.3,1.219,10.218,1.1,3285.339,4803.767,4720.286,29771.428,73.409,ND,56.055,ND,72.494,ND,17.098,6.362,6.639,1.219,ND,0.764,2.836,ND,3.068,ND,ND,ND,3.3
2,August Busch Lake #10,"38.704299, -90.722688",20:58,"47, night, cloudy","Gravel parking, next to road, fishing, signs",50,A10,3,No,,ND,ND,ND,1.744,ND,ND,0.718,ND,39.191,1.169,5204.818,2191.981,4302.714,32079.261,63.771,ND,52.469,ND,70.956,ND,4.678,4.11,4.554,ND,ND,ND,3.069,ND,1.762,ND,2.699,ND,0.718
3,August A Busch Lake # 9,"38.702636, -90.711937",21:20,"46, night, cloudy","Gravel, fishing, next to school",50,A9_LD,6,Yes,,ND,ND,ND,1.482,ND,ND,ND,ND,43.437,2.263,66479.658,3652.82,4939.695,35190.337,78.009,ND,43.675,ND,59.55,ND,15.42,7.196,7.54,ND,ND,1.27,3.783,ND,3.205,0.359,ND,ND,ND
4,August A Busch Lake # 9,"38.702636, -90.711937",21:20,"46, night, cloudy","Gravel, fishing, next to school",50,A9_FD,,Yes,,ND,ND,ND,2.625,ND,ND,1.072,ND,12.78,2.147,65519.729,3537.392,4909.286,35116.943,77.308,ND,41.384,ND,61.222,ND,30.544,15.817,15.959,ND,ND,ND,4.395,ND,4.296,ND,ND,ND,1.072
5,August A Busch Lake # 16,"38.705277, -90.757348",20:35,"47, night, cloudy","Gravel parking, plains, signs, fishing",50,A16,3,No,,ND,ND,ND,1.83,ND,ND,ND,ND,79.992,1.322,13449.844,2365.729,4976.701,32617.37,73.788,ND,69.703,ND,96.477,ND,ND,2.438,2.893,ND,ND,0.318,3.046,ND,4.038,ND,ND,ND,ND
6,Prarie Lake 1,"38.709554, -90.689758",22:01,"46, night, cloudy","Hill, research park, gravel road",50,PL,3,No,,ND,ND,ND,3.51,ND,ND,ND,ND,11.622,0.975,1403.962,3164.456,1735.26,7971.686,24.768,ND,13.405,56.516,24.993,ND,102.969,1.319,1.572,ND,ND,ND,1.129,ND,ND,ND,0.549,ND,ND
7,River's Edge Park Lake,"38.676049, -90.595833",22:35,"46, night, cloudy","Paved parking, next to main road",50,RE,2,No,,ND,ND,ND,1.918,ND,ND,0.841,14.058,12.015,33.466,26543.093,7648.032,30009.428,61744.643,572.993,ND,59.455,ND,92.222,ND,ND,163.493,160.985,14.058,ND,1.833,11.786,ND,3.519,ND,ND,ND,0.841
8,Cold Water Creek 1 (Florrisant Golf),"38.808311, -90.284175",15:21,"58, dusk","Gravel parking, light walk, shrubs",66,FL,2,No,,ND,ND,ND,3.972,ND,ND,7.501,7.858,9.359,10.368,S,6677.288,24109.528,79063.863,797.45,ND,76.262,ND,117.73,ND,16.552,86.041,84.042,7.858,ND,1.922,11.774,ND,5.472,2.715,ND,ND,7.501
9,Fairground Basketball Courts,"38.665247, -90.221814",11:48,"52, overcast, windy","Park, litter",50,FG,2,No,"Saturday, Nov. 16th",ND,ND,ND,2.559,ND,ND,5.578,1.341,17.107,35.287,56400.958,8375.779,15639.316,27307.557,162.996,ND,48.839,ND,74.725,ND,2.605,12.69,12.932,1.341,ND,1.28,8.217,ND,1.773,ND,0.85,ND,5.578
10,Maple Tree Trail,"38.741629, -90.247771",13:02,"55, light clouds","Greenway, walked through lots of shrubs",50,MP,2,No,,ND,ND,ND,3.223,ND,ND,ND,9.808,6.508,14.076,76275.509,5149.344,25256.653,80153.04,780.509,ND,64.522,ND,107.376,ND,2.436,203.919,200.07,9.808,ND,1.643,13.923,ND,4.877,2.318,ND,ND,ND
